Theme,icon,subtheme,Name,Longitude,Latitude
Museum,museum,Art Gallery/Museum,Cooks' Cottage,144.9794713,-37.81446049
Leisure,skiing,Major Sports & Recreation Facility,Westpac Centre,144.9797203,-37.82424569
Museum,museum,Art Gallery/Museum,Royal Exhibition Building,144.9715219,-37.80460262
Community Use,town-hall,Public Buildings,Melbourne Childrens Court,144.9582989,-37.81250776
Leisure,skiing,Major Sports & Recreation Facility,Etihad Stadium,144.9474963,-37.81617605
Leisure,skiing,Observation Tower/Wheel,Eureka Skydeck 88,144.9646222,-37.82161876
Mixed-Use,town-hall,Retail/Residential,Eureka Tower,144.9644567,-37.82151575
Community Use,town-hall,Public Buildings,County Court Melbourne,144.9577342,-37.81320116
Health Services,hospital,Public Hospital,Peter Maccallum Cancer Institute,144.9774009,-37.81147667
Health Services,hospital,Public Hospital,Royal Dental Hospital,144.9645268,-37.79950659
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Sandridge Rail Bridge,144.9629811,-37.8201763
Mixed-Use,town-hall,Retail/Office/Residential/Carpark,Freshwater Place,144.9624614,-37.82197455
Museum,museum,Art Gallery/Museum,Australian Centre For The Moving Image ACMI,144.9690704,-37.81761073
Bridge,bridge,Bridge,Webb Bridge,144.947291,-37.82320524
Place Of Assembly,landmark,Function/Conference/Exhibition Centre,Dallas Brooks Centre,144.9813834,-37.80973741
Education Centre,college,School - Primary and Secondary Education,Melbourne Girls Grammar School,144.9850894,-37.83153645
Retail,shop,Department Store,Myer,144.9638551,-37.8135912
Retail,shop,Department Store,David Jones,144.9643735,-37.81331273
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Lincoln Square,144.9627609,-37.80279197
Health Services,hospital,Private Hospital,Epworth Freemasons Hospital,144.9837001,-37.81097107
Residential Accommodation,lodging,Dwelling House,Bishopscourt,144.9835069,-37.81329216
Health Services,hospital,Medical Services,Mercy Private Hospital,144.9844357,-37.81189681
Museum,museum,Art Gallery/Museum,The Museum Of Australian Chinese History,144.9692339,-37.81076861
Mixed-Use,town-hall,Retail/Office/Carpark,ANZ 'Gothic' Bank,144.9616737,-37.81615807
